"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"1",4,-9386,-9410.32,-9400.27,-4163.52,-9415.23,-4212.86,-4198.81,-4217.08,-4245.97,-9399.60925829359,-9434.89884716065,-9419.99911613738,-4179.66946994206,-9442.93824278661,-4235.88721640191,-4218.82156738151,-4263.70704804573,-4293.11381725245
"2",1,-4043.86,-4067.63,-4056.31,-4062.38,-4071.66,-4078.12,-4067.54,-4068.61,-4070.54,-4057.29914846813,-4092.42888451231,-4076.29764336279,-4084.87210690026,-4098.82493882006,-4106.8424435448,-4092.98201289211,-4111.02513695307,-4113.41789506058
"3",7,-25498.1,-25503.5,-24719.6,-18835,-24729,-18850.6,-4361.12,-4389.89,-4450.22,-25610.7943490898,-25618.5100892423,-24815.009860602,-18865.8836314258,-24825.5602693541,-18883.9469755412,-4377.66725462509,-4447.86839631144,-4509.71854286231
"4",4,-17273.6,-17286.3,-17283.2,-4210.62,-17289.5,-4261.97,-4247.83,-4269.09,-4301.16,-17296.941113884,-17316.3589597321,-17311.3567735199,-4226.30909588134,-17322.2686124985,-4284.41762779393,-4268.0046960544,-4318.59236155684,-4351.8275873481
"5",7,-21882.2,-21894.9,-20541.4,-17155.5,-20560.8,-17182,-4234.64,-4267.27,-4324.37,-21934.4294932881,-21952.7924896315,-20583.005392302,-17180.4058361879,-20606.0254881556,-17210.7537915752,-4250.84259896311,-4314.77129034933,-4373.094089411
"6",5,-27313,-20745.7,-26502.7,-27319.9,-4267.45,-20760.7,-26512.4,-1128330,-1126610,-27483.4462603213,-20788.2426294673,-26645.1785464973,-27493.1848494857,-4283.84854889163,-20805.8162326896,-26656.568504897,-4330.24764438435,-4403.79932524763
"7",7,-21672.9,-21683.4,-20613,-16218.1,-20628.6,-16239.5,-4223.09,-4247.57,-4308.18,-21722.8331430165,-21738.4453734707,-20654.9661716515,-16240.4273015464,-20673.4778784211,-16265.1982557224,-4239.31949050444,-4297.12697006935,-4360.99073116649
"8",8,-25354.2,-18676,-25302.7,-24677.6,-18318.1,-10457.4,-24613.9,-689730,-688031,-25463.0673726416,-18705.9899113659,-25410.8732893761,-24772.2205022239,-18347.5520754331,-10474.8479051295,-24707.8549851752,-4500.51186007842,-4693.39334418552
"9",1,-4071.88,-4099.9,-4085.88,-4092.89,-4104.28,-4109.88,-4097.68,-4098.33,-4101.01,-4084.64987078621,-4125.19271247616,-4104.94973641193,-4114.84649726498,-4132.45330797896,-4140.59550172979,-4122.30319790253,-4144.57599324705,-4147.67114239664
"10",9,-26226,-25181.3,-26196.8,-26049.3,-25141,-24944.5,-26018.8,-26228.2,-246720,-26359.4290689365,-25287.9944029122,-26330.6744087182,-26178.0022992903,-25247.7795329571,-25046.3736005719,-26147.6259244884,-25003.3060654624,-5126.22041218593
