# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model3_model
# start_datetime = 2023-11-09 00:15:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524a66de01.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model3-202311090015-2-8fe1bc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model3-profile-202311090015-2-4c66e6.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4374.55,1,0.015625,1,1,0,6407.64,2.00682,0.203158,2.05707,0.193172,1.11345
-4374.55,0,14.3855,0,1,1,4382.27,2.00682,0.203158,2.05707,0.193172,1.11345
-4374.55,0,2.43117,0,1,1,4374.89,2.00682,0.203158,2.05707,0.193172,1.11345
-4374.55,0,0.239791,0,1,1,4378.22,2.00682,0.203158,2.05707,0.193172,1.11345
-4374.55,2.75951e-127,0.0186273,1,1,0,4376.21,2.00682,0.203158,2.05707,0.193172,1.11345
-4318.61,0.999907,0.00130482,3,7,0,4378.13,2.00324,0.202525,2.01933,0.191843,1.07082
-4281.85,0.996729,0.0018905,3,7,0,4323.45,1.99735,0.20302,2.01608,0.187568,1.02651
-4271.11,0.996797,0.00302522,3,7,0,4283.63,1.98285,0.199892,1.97716,0.18715,1.00572
-4263.76,0.97148,0.00519258,3,7,0,4273.13,1.91203,0.198996,1.97115,0.184906,0.999402
-4249.12,0.999217,0.0086035,3,7,0,4265.95,1.84604,0.189661,1.89434,0.175527,0.995854
-4249.12,0.105183,0.0159962,2,3,0,4250.06,1.84604,0.189661,1.89434,0.175527,0.995854
-4224.81,0.996515,0.00179489,5,31,0,4251.18,1.77581,0.195959,1.71667,0.158837,0.984955
-4223.01,0.998951,0.00342043,4,15,0,4225.6,1.75347,0.197641,1.71482,0.158271,1.00259
-4211.9,0.804552,0.00661149,3,7,0,4226.29,1.69382,0.194252,1.66877,0.150124,0.991509
-4140.7,0.856347,0.00698105,5,31,0,4219.37,1.26008,0.214221,0.938266,0.13875,0.980597
-4117.88,0.735337,0.00870249,5,31,0,4144.08,1.20222,0.233289,0.667513,0.123863,1.01017
-4102.98,0.801112,0.0074892,6,63,0,4123.2,1.15746,0.426606,0.324342,0.137223,1.01149
-4102.09,0.999223,0.00792577,3,15,0,4104.35,1.22587,0.423336,0.326682,0.140988,1.01077
-4101.26,0.295767,0.0153214,4,15,0,4104.08,1.16026,0.383861,0.298565,0.129701,0.995736
-4097.87,0.994864,0.00354475,7,127,0,4103.68,1.34028,0.303408,0.366338,0.122434,0.992001
-4100.27,0.928661,0.00676494,6,63,0,4102.37,1.264,0.382908,0.395581,0.105181,0.987426
-4100.43,0.929674,0.0105187,5,31,0,4102.49,1.33109,0.353744,0.430884,0.111678,0.995318
-4100.32,0.258015,0.0163015,4,15,0,4101.54,1.31226,0.353633,0.423734,0.107285,0.988789
-4101.2,0.958199,0.00356286,7,127,0,4105.47,1.21374,0.435538,0.409508,0.126566,0.990817
-4102.93,0.822471,0.00601485,4,19,0,4106.3,1.11378,0.439631,0.436621,0.125448,1.0039
-4103.42,0.995559,0.00683302,6,63,0,4106.62,1.06026,0.37553,0.365611,0.171896,0.990776
-4100.91,0.835939,0.0126527,5,31,0,4104.79,1.14952,0.37826,0.41356,0.130584,0.998134
-4094.08,0.352063,0.0148126,6,79,0,4102.26,5.53585,0.0514917,0.103012,0.0333371,0.996957
-4094.79,0.998309,0.00449522,5,31,0,4095.05,5.52167,0.0488755,0.106025,0.0334281,0.996834
-4093.17,0.75599,0.00829263,6,63,0,4097.54,5.38857,0.0606691,0.0842906,0.0388107,0.988178
-4092.88,0.89823,0.00779869,6,63,0,4095.91,5.0894,0.0673254,0.114709,0.0330387,0.981464
-4089.4,0.935928,0.0108036,5,39,0,4094.2,4.88031,0.0796192,0.110695,0.0413824,0.993183
-4089.94,0.0775051,0.0164772,3,11,0,4091.58,4.8462,0.0775974,0.110744,0.0411456,0.985852
-4088.99,0.999654,0.00251817,7,151,0,4091.54,4.03664,0.0819872,0.115997,0.0465387,0.986047
-4090.15,0.948638,0.00456879,5,39,0,4093.23,4.67878,0.0806976,0.125342,0.0476591,1.00464
-4089.09,0.954158,0.00717927,5,31,0,4091.56,4.50111,0.0883953,0.120969,0.0483241,0.985631
-4087.02,0.999697,0.0113619,5,63,0,4092.51,3.67502,0.101295,0.138367,0.054718,0.994833
-4087.02,0.00902783,0.0200832,2,5,0,4092.4,3.67502,0.101295,0.138367,0.054718,0.994833
-4089.61,0.962893,0.00276219,5,47,0,4090.46,3.5756,0.0994974,0.133445,0.0509838,0.978007
-4090.86,0.994266,0.00445281,5,47,0,4092.84,3.98172,0.101882,0.142241,0.0576953,1.0128
-4090.56,1,0.00771361,2,3,0,4091.5,3.99123,0.101619,0.142746,0.0578252,1.01139
-4088.28,0.886272,0.0134427,5,31,0,4090.47,3.61378,0.0904253,0.129359,0.0621366,0.990276
-4087.75,0.29562,0.0174969,2,7,1,4092.47,3.60386,0.0941946,0.129133,0.0601315,0.993831
-4089.56,0.966741,0.0052593,6,63,0,4090.25,3.5943,0.0821872,0.126878,0.0649864,0.999292
-4088.09,0.997809,0.00836276,6,63,0,4090.42,4.32043,0.094756,0.11978,0.0440991,0.991027
-4088.65,0.533256,0.0142469,6,63,0,4090.26,2.85267,0.126328,0.150864,0.0767283,0.989934
-4089.94,0.99643,0.00781715,5,31,0,4091.27,2.82763,0.119954,0.151242,0.0855635,0.99908
-4091.13,0.611769,0.0131754,5,63,0,4094.2,2.36064,0.13629,0.160826,0.0826357,0.992474
-4089.37,0.990129,0.00879371,5,63,0,4094.33,2.34901,0.150413,0.189965,0.0853015,0.997043
-4088.77,0.470964,0.01448,5,31,0,4090.63,2.72648,0.191924,0.171446,0.0722911,0.998107
-4087.9,0.987948,0.00696512,6,127,0,4090.51,3.18655,0.115668,0.184816,0.0568671,1.00002
-4089.27,0.946854,0.0113476,6,63,0,4092.29,2.41509,0.170027,0.222038,0.0630749,0.997338
-4089.27,0.020262,0.0166915,3,9,1,4096.6,2.41509,0.170027,0.222038,0.0630749,0.997338
-4090.12,0.990331,0.00286937,8,255,0,4091.26,2.61135,0.164269,0.189648,0.0893911,1.00058
-4092.17,0.853839,0.00467964,3,15,0,4095,2.59619,0.16393,0.189002,0.0893217,1.01212
-4092.43,0.871834,0.00555364,6,111,0,4099.39,3.85595,0.112843,0.123903,0.0554804,1.01974
-4095.24,0.982475,0.00684908,6,63,0,4096.84,2.81642,0.124936,0.227264,0.0527953,1.02045
-4093.94,0.945737,0.0108082,3,13,0,4097.57,2.86508,0.125603,0.218683,0.0542071,0.970988
-4090.33,0.513059,0.0156178,5,63,0,4095.23,2.1416,0.201651,0.206672,0.0919433,0.998743
-4090.94,0.93497,0.00857239,5,31,0,4091.99,2.03891,0.196906,0.206474,0.0872584,1.00251
-4091.46,0.996947,0.012054,4,31,0,4093.92,2.02913,0.17951,0.203937,0.0768261,0.988485
-4091.46,0.0240706,0.0193436,1,3,0,4093.5,2.02913,0.17951,0.203937,0.0768261,0.988485
-4089.63,0.999858,0.00367558,6,63,0,4092.78,2.58554,0.179011,0.200228,0.0830437,0.989194
-4091.66,0.918763,0.00594175,6,127,0,4093.44,2.02167,0.231011,0.244629,0.0714287,1.00013
-4089.14,0.997457,0.00801442,6,127,0,4094.23,2.96338,0.185169,0.193953,0.063526,0.993481
-4090.51,0.987362,0.012757,3,15,0,4092.66,2.68991,0.19488,0.193064,0.052083,0.992933
-4089.91,0.690342,0.0197654,2,7,0,4090.65,2.75484,0.196386,0.197913,0.0539839,0.994429
-4090.45,0.0525626,0.0162042,5,51,0,4092.34,2.69845,0.198056,0.202478,0.0536697,0.999844
-4089.83,0.999191,0.00345594,7,255,0,4091.66,2.59341,0.197255,0.211866,0.0581542,0.991326
-4090.02,0.985567,0.0054861,7,127,0,4092.05,2.58817,0.142084,0.164497,0.0913935,0.996894
-4089.86,0.981548,0.00842057,6,63,0,4091.84,2.54314,0.179859,0.162338,0.0873069,0.993896
-4089.53,0.996506,0.0127564,6,127,0,4092.89,3.45248,0.101962,0.199858,0.0501528,0.993681
-4090.7,0.036753,0.0198418,1,3,0,4092.68,3.47441,0.103893,0.196483,0.0499655,1.008
-4088.02,0.991361,0.0042582,7,159,0,4092.69,3.66391,0.0878942,0.141443,0.046745,0.996334
-4091.43,0.97719,0.00655898,6,95,0,4092.59,4.3092,0.107502,0.0989356,0.0647603,0.989593
-4092.76,0.876546,0.00977032,5,31,0,4094.71,4.44978,0.105102,0.0925987,0.0657585,1.00044
-4091.95,0.99021,0.0118179,4,15,0,4092.96,4.19519,0.105295,0.0930952,0.0657545,0.991983
-4091.95,1.48022e-05,0.0179412,1,3,0,4097.28,4.19519,0.105295,0.0930952,0.0657545,0.991983
-4090.41,0.972666,0.00371636,6,63,0,4093.85,4.22674,0.0999909,0.100674,0.0605983,0.987303
-4087.03,0.982138,0.00545459,6,63,0,4091.17,3.61317,0.107564,0.135903,0.0511592,0.995058
-4087.37,0.998624,0.00812614,5,63,0,4088.8,3.48743,0.112059,0.132997,0.0509457,0.99448
-4088.03,0.531277,0.0124574,6,63,0,4089.33,3.39477,0.127593,0.151121,0.0664375,0.98785
-4089.95,0.780676,0.00757839,6,67,0,4091.53,2.58113,0.148586,0.17609,0.0678602,0.979281
-4089.94,1,0.00754957,3,7,0,4090.28,2.58514,0.149478,0.174918,0.0659349,0.979731
-4089.29,0.965759,0.0115335,5,31,0,4090.26,3.12242,0.14197,0.16898,0.0726056,0.983323
-4088.76,0.141593,0.0164196,3,11,1,4092.23,3.14037,0.147516,0.171636,0.0733035,0.993046
-4089.06,0.999582,0.00473984,6,63,0,4089.53,2.5451,0.139216,0.160864,0.075571,0.993904
