# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model4_model
# start_datetime = 2023-11-09 00:19:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5245ca47e78.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model4-202311090019-2-76fab6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model4-profile-202311090019-2-2aec3d.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4215.71,1,0.015625,1,1,0,6226.97,2.02325,0.20254,2.08024,0.194753,1.10605
-4215.71,0,14.3855,0,1,1,4223.43,2.02325,0.20254,2.08024,0.194753,1.10605
-4215.71,0,2.43117,0,1,1,4216.05,2.02325,0.20254,2.08024,0.194753,1.10605
-4215.71,0,0.239791,0,1,1,4219.38,2.02325,0.20254,2.08024,0.194753,1.10605
-4215.71,1.07778e-122,0.0186273,1,1,0,4217.37,2.02325,0.20254,2.08024,0.194753,1.10605
-4168.15,0.999824,0.00130482,3,7,0,4219.31,2.0228,0.201754,2.04684,0.193716,1.0657
-4138.26,0.996516,0.00189002,3,7,0,4173.04,2.021,0.202039,2.04989,0.189792,1.02385
-4132.99,0.996108,0.00302243,5,31,0,4140.17,2.00122,0.195056,2.00441,0.190059,0.975491
-4111.67,0.99403,0.00517652,6,63,0,4137.56,1.72483,0.149648,1.94975,0.123806,1.01724
-4108.99,0.972656,0.0092098,6,63,0,4113.86,1.40234,0.170123,1.87629,0.114565,0.975732
-4098.26,0.393557,0.0157455,5,31,0,4111.35,1.24899,0.236035,0.391664,0.171422,0.988128
-4097.94,0.99735,0.00439315,5,31,0,4098.76,1.22287,0.232667,0.389029,0.167848,0.988778
-4096.21,0.999499,0.00837127,5,31,0,4100.56,1.3371,0.229386,0.48547,0.177146,0.993638
-4094.54,0.134192,0.016145,6,63,0,4101.26,1.13906,0.233284,0.620057,0.141561,0.982482
-4089.63,0.999996,0.00209779,8,511,0,4097.36,2.1843,0.133951,0.540345,0.0960979,0.98311
-4090.52,0.997483,0.00411218,6,63,0,4091.45,2.07765,0.12248,0.608414,0.0902679,0.982097
