# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model5_model
# start_datetime = 2023-11-09 00:24:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524593d10c0.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model5-202311090024-1-2eca95.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model5-profile-202311090024-1-2becd4.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8722.87,1,0.00390625,1,1,0,31006.4,2.27137,0.56886,1.7993,0.1917,0.546665
-8722.87,0,14.3855,0,1,1,8725.21,2.27137,0.56886,1.7993,0.1917,0.546665
-8722.87,0,2.43117,0,1,1,8723.43,2.27137,0.56886,1.7993,0.1917,0.546665
-8722.87,0,0.239791,0,1,1,8726.51,2.27137,0.56886,1.7993,0.1917,0.546665
-8722.87,0,0.0186273,0,1,1,8724.86,2.27137,0.56886,1.7993,0.1917,0.546665
-8526.04,1,0.00130482,1,1,0,8724.15,2.27322,0.569472,1.79922,0.192131,0.553009
-8077.53,1,0.00189104,1,1,0,8509.53,2.27324,0.571042,1.80087,0.192043,0.568599
-5377.49,1,0.00305706,2,3,0,7883.01,2.25325,0.567202,1.77824,0.192869,0.735051
-4931.76,1,0.00530085,1,1,0,5301.49,2.24222,0.568707,1.76868,0.193391,0.801584
-4533.87,1,0.00961161,2,3,0,4766.08,2.22932,0.567893,1.76464,0.194958,0.964814
-4533.87,0.0454454,0.0179176,1,1,0,4534.97,2.22932,0.567893,1.76464,0.194958,0.964814
-4506.87,0.99971,0.00166455,5,31,0,4540.21,2.07961,0.569991,1.72645,0.185863,1.01659
-4495.25,1,0.00320486,4,15,0,4509.25,2.08636,0.561223,1.69762,0.182383,0.993235
-4477.46,0.926876,0.006217,2,3,0,4497.58,2.05001,0.542737,1.64146,0.18252,0.999255
-4439.46,0.927234,0.00961601,2,3,0,4482.82,1.85382,0.514327,1.60855,0.189655,0.993767
-4265.08,0.379098,0.0149014,3,7,0,4439.08,1.23093,0.368373,1.1663,0.183585,0.991596
-4258,0.998643,0.00426934,4,15,0,4266.3,1.23095,0.357093,1.13182,0.182335,0.993239
-4241.29,0.999489,0.00829427,3,7,0,4260.32,1.1516,0.351969,1.04657,0.187156,0.994649
-4241.29,0.00862465,0.016041,3,7,0,4244.5,1.1516,0.351969,1.04657,0.187156,0.994649
-4215.62,0.998596,0.00156488,5,31,0,4246.43,1.03973,0.319372,0.986969,0.19092,0.995512
-4177.3,0.999765,0.00304027,5,39,0,4216.37,0.840019,0.262919,0.848675,0.184241,0.997633
-4176.66,0.941801,0.00587232,2,7,0,4178.96,0.837391,0.260433,0.834279,0.184,1.00545
-4156.65,0.836349,0.00947664,5,31,0,4179.2,0.797577,0.187702,0.525565,0.208787,1.01392
-4143.83,0.991185,0.0111754,5,31,0,4157.94,1.22918,0.183426,0.424462,0.158603,1.0108
-4143.83,4.26392e-07,0.0205464,1,3,1,4147.54,1.22918,0.183426,0.424462,0.158603,1.0108
-4131.28,0.999978,0.00220299,7,255,0,4145.27,1.44883,0.119762,0.256548,0.150363,1.01143
-4128.74,0.995382,0.00417071,6,63,0,4132.74,1.94637,0.11069,0.288376,0.1591,1.0113
-4113.26,0.999359,0.00771335,6,63,0,4129.59,2.99823,0.0832733,0.184128,0.0960352,0.992849
-4114.43,0.809114,0.014278,5,31,0,4115.04,2.35156,0.0799524,0.184141,0.0864346,0.998939
-4107.47,0.423323,0.0154698,5,31,0,4116.14,4.09021,0.0491758,0.118473,0.0604627,0.98638
-4107.66,0.99936,0.00581964,5,63,0,4108.76,4.33927,0.0464353,0.126103,0.0629886,1.00281
-4108.1,0.890028,0.0106361,6,63,0,4108.49,4.33042,0.0464826,0.126706,0.0627573,1.0058
-4107.18,1,0.0143368,4,15,0,4108.9,4.37711,0.0491102,0.124802,0.0602652,1.00443
-4107.52,0.333333,0.0257986,1,3,1,4109.65,4.55749,0.0498088,0.126713,0.0613027,0.985462
-4108.21,0.994081,0.00785628,6,127,0,4109.27,3.78141,0.0739552,0.129492,0.0569002,0.988679
-4108.89,0.996139,0.0138521,4,15,0,4109.79,3.88323,0.0762251,0.127406,0.0568494,1.00012
-4108.89,8.08384e-14,0.0243335,1,3,1,4115.28,3.88323,0.0762251,0.127406,0.0568494,1.00012
-4108.73,0.994254,0.00321533,8,255,0,4110.44,3.30504,0.0594642,0.155182,0.0690055,1.00235
-4106.86,0.986687,0.00563341,7,127,0,4109.81,4.59893,0.0563681,0.104014,0.050972,0.985287
-4113.64,0.98078,0.00959705,5,63,0,4116.66,3.93122,0.0480901,0.203476,0.0536295,1.0029
-4109.01,0.0616083,0.0159749,5,31,0,4117.3,3.67138,0.0698678,0.139967,0.0455572,0.990681
-4110.47,0.983422,0.00262409,5,47,0,4111.92,3.63989,0.0704264,0.140827,0.0447586,0.982769
-4110.89,0.997114,0.00440382,3,15,0,4111.29,3.6557,0.0716061,0.140908,0.0438619,1.00731
-4112.5,0.88942,0.00758603,5,31,0,4116.2,4.02495,0.0809575,0.146021,0.0465922,0.990537
-4109.74,0.947215,0.0099494,6,63,0,4113.3,3.79613,0.0723099,0.139083,0.0446402,1.00247
-4109.5,0.979838,0.0149635,3,7,0,4109.74,3.78478,0.072682,0.138453,0.0443134,0.99144
-4109.5,0.140148,0.0242106,1,3,0,4111.09,3.78478,0.072682,0.138453,0.0443134,0.99144
-4107.08,0.984592,0.00516145,6,63,0,4111,4.12473,0.0575853,0.140417,0.0473118,0.997118
-4108.07,0.968534,0.00844859,4,31,0,4108.94,3.91348,0.058525,0.142996,0.0447978,0.999336
-4107.92,0.999655,0.0132204,5,31,0,4110.16,3.94954,0.0723451,0.11843,0.0533212,0.999079
