# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model6_model
# start_datetime = 2023-11-09 00:27:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-52433df044e.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model6-202311090027-1-5c6e6d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model6-profile-202311090027-1-68eca4.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model6_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8906.52,1,0.00390625,1,1,0,30760.7,2.27086,0.567728,1.80248,0.191657,0.54142
-8906.52,0,14.3855,0,1,1,8908.86,2.27086,0.567728,1.80248,0.191657,0.54142
-8906.52,0,2.43117,0,1,1,8907.08,2.27086,0.567728,1.80248,0.191657,0.54142
-8906.52,0,0.239791,0,1,1,8910.16,2.27086,0.567728,1.80248,0.191657,0.54142
-8906.52,0,0.0186273,0,1,1,8908.51,2.27086,0.567728,1.80248,0.191657,0.54142
-8704.03,1,0.00130482,1,1,0,8907.66,2.27266,0.568358,1.80231,0.192083,0.547805
-8243.96,1,0.00189104,1,1,0,8686.96,2.27257,0.569966,1.80374,0.191986,0.563457
-5482.06,1,0.00305706,2,3,0,8044.95,2.25135,0.566637,1.77855,0.192701,0.730586
-5026.38,1,0.00530085,1,1,0,5404.71,2.23918,0.568633,1.76657,0.193122,0.797382
-4617.4,1,0.00961161,2,3,0,4857.46,2.2224,0.569509,1.75426,0.194343,0.961632
-4617.4,0.0460094,0.0179176,1,1,0,4618.5,2.2224,0.569509,1.75426,0.194343,0.961632
-4610.57,0.999414,0.00166752,4,15,0,4623.73,2.19974,0.575277,1.75231,0.192181,0.971497
-4601.62,0.998486,0.00320756,3,7,0,4612.3,2.18668,0.572337,1.73728,0.189672,0.981424
-4526.24,1,0.00619276,3,7,0,4604.06,1.97977,0.520405,1.60197,0.176832,0.998845
-4368.71,1,0.0120317,3,7,0,4527.77,1.50731,0.40531,1.28426,0.155872,1.00292
-4368.71,0.0951367,0.0233271,1,3,1,4373.99,1.50731,0.40531,1.28426,0.155872,1.00292
-4346.91,0.998209,0.00278095,4,15,0,4369.82,1.41482,0.400994,1.22996,0.152993,0.97779
-4322.22,0.996314,0.00541268,3,7,0,4348.52,1.37094,0.390782,1.12771,0.148155,1.00709
-4205.94,1,0.0104022,4,15,0,4322.3,0.879531,0.337362,0.742159,0.134236,0.980831
-4205.94,1.56975e-22,0.0200528,1,1,0,4209.14,0.879531,0.337362,0.742159,0.134236,0.980831
-4192.09,0.995698,0.00194312,6,63,0,4209.93,0.791409,0.291868,0.674274,0.127735,0.978597
-4193.15,1,0.00372222,6,63,0,4197.47,0.727457,0.290483,0.69005,0.128146,1.00138
-4189.72,0.996188,0.00715181,3,7,0,4193.58,0.730815,0.292549,0.668311,0.133505,0.990159
-4154.95,1,0.0134534,4,15,0,4191.11,0.946241,0.205195,0.386089,0.175125,0.998529
-4154.95,3.34385e-06,0.0253308,1,3,1,4155.93,0.946241,0.205195,0.386089,0.175125,0.998529
-4145.13,0.997965,0.00271114,7,127,0,4156.05,1.14673,0.222967,0.308269,0.142702,0.998062
-4145.24,0.999202,0.00509454,6,63,0,4146.35,1.13604,0.231151,0.300883,0.139608,0.99595
-4131.27,0.999957,0.00950737,6,63,0,4145.88,1.6378,0.160931,0.196686,0.148482,0.992696
-4131.24,0.423449,0.0175971,3,15,1,4133.65,1.63632,0.165963,0.198062,0.145217,0.994875
-4112.84,0.790753,0.00656062,6,63,0,4136.71,3.32385,0.0845598,0.133212,0.0559884,1.01093
-4110.22,0.972218,0.00679936,6,63,0,4113.75,3.55972,0.0872932,0.121744,0.0526292,0.991511
-4109.86,0.183115,0.0115287,5,33,0,4117.84,3.55057,0.084952,0.121863,0.0540668,0.996101
-4110.82,0.998369,0.00231293,8,255,0,4113.54,3.81648,0.0618716,0.136772,0.0542665,0.989895
-4110.5,0.997832,0.00420572,7,127,0,4112.89,3.32318,0.0791294,0.129005,0.0521199,0.992709
-4110.37,0.988966,0.0075626,6,127,0,4112.53,5.46478,0.0458597,0.0673307,0.0436876,0.991512
-4111.42,0.869284,0.0131601,5,63,0,4115,5.34551,0.0704127,0.0757495,0.0511769,1.00186
-4115.44,0.00261748,0.0166114,2,5,0,4119.15,5.30854,0.0700083,0.0739584,0.0517585,1.0186
-4114.65,0.999981,0.00221644,4,15,0,4116.57,5.17482,0.068013,0.0738824,0.0525397,0.970883
-4113.04,0.994615,0.00395215,6,111,0,4118.6,4.33049,0.0743041,0.0823274,0.0642937,1.01408
-4112.44,1,0.00688884,2,3,0,4113.27,4.3308,0.0742802,0.0821655,0.0642114,1.01196
-4110.67,0.937709,0.0120683,5,63,0,4114.97,4.66284,0.0581649,0.0830571,0.0472412,1.01394
-4108.58,0.433143,0.0179267,2,5,0,4113.86,4.44228,0.0563478,0.091578,0.0484026,1.00513
-4109.03,0.999933,0.00752552,6,63,0,4111.08,5.27282,0.0621004,0.0786698,0.0389011,1.00122
-4108.83,0.938278,0.0130036,5,31,0,4111.55,5.31676,0.0615836,0.0749169,0.0401312,0.993324
-4108.83,0.0011486,0.0191556,1,3,0,4110.82,5.31676,0.0615836,0.0749169,0.0401312,0.993324
-4108.18,0.993121,0.00285272,8,255,0,4110.06,4.474,0.0631662,0.0883359,0.0544119,0.9869
-4110.91,0.980611,0.00482221,7,127,0,4112.12,4.93753,0.0531173,0.0748061,0.0617924,1.00218
-4108.04,0.977196,0.00785035,6,63,0,4112.12,4.91124,0.0508803,0.0962941,0.042563,0.997546
-4107.96,0.998656,0.0125887,5,63,0,4109.98,4.81593,0.051013,0.0973504,0.0430404,0.994406
-4107.96,0.0571139,0.0211014,1,3,0,4110.39,4.81593,0.051013,0.0973504,0.0430404,0.994406
-4108.35,0.99619,0.0038172,7,191,0,4110.6,4.00394,0.076439,0.1007,0.0505298,0.99815
-4108.73,0.984967,0.00636543,6,127,0,4109.35,3.76489,0.0790481,0.104656,0.0551079,0.98998
-4109.13,0.955942,0.0102697,5,31,0,4109.91,4.03001,0.0777913,0.0935643,0.0623116,0.997108
-4108.47,0.172243,0.0153948,5,63,0,4112.31,4.82974,0.0644954,0.083122,0.0511777,0.987403
-4110.28,0.997823,0.00379536,6,63,0,4111.93,5.09938,0.06922,0.0895788,0.0528182,0.993214
-4109.37,0.986835,0.00626445,6,95,0,4112.11,4.28811,0.0528163,0.104247,0.0410517,0.998893
-4109.21,0.999962,0.01002,5,63,0,4111.15,5.65219,0.0533609,0.0859187,0.0377386,0.98951
-4109.21,0.0189982,0.0164091,2,7,0,4110.51,5.65219,0.0533609,0.0859187,0.0377386,0.98951
-4108.48,0.999998,0.00296704,7,255,0,4112.45,4.5855,0.0515187,0.102923,0.0415931,0.991591
-4113.26,0.784303,0.00486395,4,23,0,4114.71,4.84502,0.0542102,0.106794,0.0431193,0.970207
-4115.48,0.950201,0.00491667,7,127,0,4121.44,5.53495,0.0440387,0.0993924,0.044223,0.970184
-4114.37,0.904756,0.00715669,6,127,0,4118.74,4.64812,0.0519709,0.0944675,0.035861,0.969651
-4112.52,1,0.00938825,2,3,0,4114.33,4.61611,0.0511384,0.0951392,0.0360103,1.01432
-4108.58,0.69716,0.0150992,4,15,0,4110.63,5.18347,0.0522529,0.092893,0.040148,0.986042
-4109.6,0.826297,0.0125461,5,31,0,4110.51,5.30579,0.0523164,0.0787129,0.0379355,0.981449
-4108.62,0.710872,0.013787,4,15,0,4109.55,5.55774,0.0513844,0.0800311,0.0366912,0.99119
-4109.17,0.861836,0.0118229,5,47,0,4111.74,4.89927,0.0479584,0.0978017,0.0416387,1.00318
-4107.64,0.993439,0.0139968,5,63,0,4109.23,4.49976,0.065637,0.0879484,0.0513703,0.995141
-4107.64,5.19289e-23,0.0218425,1,1,0,4111.44,4.49976,0.065637,0.0879484,0.0513703,0.995141
-4110.1,0.964166,0.00419855,7,127,0,4112.74,5.72386,0.0417344,0.0813197,0.0373653,1.00058
-4110.51,0.932241,0.00617106,5,63,0,4112.58,5.61468,0.0480003,0.0899734,0.0380679,1.00745
-4111.13,0.976997,0.00845104,6,63,0,4114.13,3.93734,0.0798276,0.0856012,0.0535797,1.00711
-4108.39,0.9098,0.0126523,5,63,0,4112.49,4.91318,0.0491372,0.0831428,0.0456752,0.997817
-4108.39,0.00513388,0.0164228,2,7,0,4110.68,4.91318,0.0491372,0.0831428,0.0456752,0.997817
-4108.65,0.988906,0.00333252,6,127,0,4112.81,5.08022,0.0509705,0.0824698,0.048903,0.986408
-4108.61,0.999898,0.00510172,6,127,0,4110.05,3.8364,0.0696639,0.108809,0.0465477,0.992243
-4109.45,0.842233,0.00795033,3,15,0,4110.5,4.00957,0.0710309,0.110177,0.0468243,0.981962
-4107.94,0.912994,0.00897265,5,31,0,4110.83,4.2679,0.0644229,0.0914175,0.0448886,0.991856
-4107.99,0.774062,0.011656,5,31,0,4109.53,4.56668,0.0644267,0.0890051,0.0546866,0.989963
-4107.79,0.952149,0.0114413,4,31,0,4108.91,4.2139,0.0603429,0.0979496,0.0470727,0.990864
-4107.79,0.0108397,0.0160008,4,31,0,4111.87,4.2139,0.0603429,0.0979496,0.0470727,0.990864
