# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model7_model
# start_datetime = 2023-11-09 00:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241528a13.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-202311090030-2-47f266.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-profile-202311090030-2-236bf0.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model7_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4422.07,1,0.015625,1,1,0,6459.07,2.00072,0.20254,2.05707,0.192584,1.11636
-4422.07,0,14.3855,0,1,1,4429.79,2.00072,0.20254,2.05707,0.192584,1.11636
-4422.07,0,2.43117,0,1,1,4422.41,2.00072,0.20254,2.05707,0.192584,1.11636
-4422.07,0,0.239791,0,1,1,4425.74,2.00072,0.20254,2.05707,0.192584,1.11636
-4422.07,9.578e-70,0.0186273,1,3,1,4423.72,2.00072,0.20254,2.05707,0.192584,1.11636
-4363.87,0.999931,0.00130482,3,7,0,4425.64,1.99568,0.201758,2.01934,0.191117,1.07308
-4324.59,0.996767,0.00189064,3,7,0,4368.69,1.98784,0.202049,2.01612,0.186672,1.02803
-4311.5,0.99693,0.0030258,3,7,0,4326.34,1.96851,0.198432,1.97725,0.18579,1.00603
-4301.06,0.973516,0.00519576,3,7,0,4313.5,1.89066,0.196737,1.97139,0.182824,0.999391
-4276.85,1,0.00866435,3,7,0,4303.2,1.79194,0.183941,1.89448,0.170256,0.996014
-4276.85,0.106059,0.0161494,2,3,0,4277.78,1.79194,0.183941,1.89448,0.170256,0.996014
-4245.67,0.996937,0.00181709,5,31,0,4278.9,1.69414,0.186537,1.71642,0.151035,0.985065
-4243.15,0.999091,0.00346721,4,15,0,4246.46,1.66827,0.187533,1.71517,0.15002,1.00265
-4228.93,0.80334,0.00670446,3,7,0,4246.41,1.60193,0.182886,1.67005,0.141198,0.992458
-4155.79,0.866099,0.00705198,5,31,0,4236.28,1.1472,0.188034,0.949353,0.122563,0.982603
