# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model8_model
# start_datetime = 2023-11-09 00:33:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241ec7238c.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-202311090033-2-4927cf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-profile-202311090033-2-20e7c7.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model8_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4436.63,1,0.015625,1,1,0,6474.62,1.99902,0.202368,2.05707,0.192421,1.11721
-4436.63,0,14.3855,0,1,1,4444.35,1.99902,0.202368,2.05707,0.192421,1.11721
-4436.63,0,2.43117,0,1,1,4436.97,1.99902,0.202368,2.05707,0.192421,1.11721
-4436.63,0,0.239791,0,1,1,4440.3,1.99902,0.202368,2.05707,0.192421,1.11721
-4436.63,1.1491e-69,0.0186273,1,3,1,4438.29,1.99902,0.202368,2.05707,0.192421,1.11721
-4377.82,0.999937,0.00130482,3,7,0,4440.2,1.99364,0.201551,2.01935,0.190922,1.07375
-4337.86,0.996777,0.00189068,3,7,0,4382.64,1.98536,0.201796,2.01613,0.186439,1.02849
-4324.14,0.996967,0.00302596,3,7,0,4339.61,1.96494,0.198068,1.97727,0.185451,1.00617
-4312.88,0.974053,0.00519663,3,7,0,4326.14,1.88549,0.196191,1.97145,0.18232,0.999452
-4285.93,1,0.00868051,3,7,0,4315,1.77918,0.182593,1.89449,0.169011,0.99614
-4285.93,0.106865,0.0161796,2,3,0,4286.86,1.77918,0.182593,1.89449,0.169011,0.99614
-4252.64,0.997039,0.00182512,5,31,0,4287.97,1.67464,0.18433,1.71588,0.149161,0.985206
-4249.89,0.999114,0.0034836,4,15,0,4253.43,1.64793,0.185171,1.71475,0.148039,1.00275
-4234.81,0.802777,0.00673648,3,7,0,4253.14,1.58003,0.180236,1.66975,0.139054,0.992907
-4161.07,0.869032,0.00707304,5,31,0,4242.13,1.12259,0.182345,0.951382,0.118939,0.983445
-4131.92,0.696033,0.00916984,5,31,0,4165.32,1.23837,0.213953,0.365683,0.0800078,1.01793
-4120.5,0.859107,0.00698995,5,63,0,4137.57,2.37506,0.143245,0.292857,0.0695237,1.0223
-4116.4,0.970196,0.0088354,4,15,0,4120.9,2.41596,0.138439,0.281755,0.0695697,0.975922
-4112.55,0.309017,0.0156284,4,15,0,4117.43,2.34745,0.141023,0.28629,0.0658887,0.992795
-4109.7,0.99433,0.00376212,6,127,0,4114.98,2.54869,0.137619,0.253647,0.0570152,0.989064
-4112.36,0.97759,0.00716485,5,63,0,4113.85,2.24697,0.158037,0.280033,0.055843,1.00021
-4106.94,0.373182,0.0128683,5,47,0,4116.01,2.54997,0.109719,0.18158,0.0641421,0.991201
-4106.93,0.999815,0.00389542,6,63,0,4107.3,2.55491,0.108585,0.187399,0.065428,0.994863
-4110.28,0.991141,0.00744379,5,31,0,4112.2,2.49101,0.147394,0.187974,0.0658754,0.995139
-4104.04,0.384104,0.0137314,5,59,0,4113.41,4.30217,0.0680269,0.178836,0.037765,0.987135
-4102.18,0.999996,0.00442689,6,127,0,4104.85,3.51409,0.0746707,0.140446,0.0447185,0.990651
-4102.28,0.898782,0.00833174,2,3,0,4102.83,3.51278,0.0749561,0.140839,0.0446084,0.988999
-4102.52,0.993902,0.0116784,5,63,0,4103.72,3.42454,0.0748838,0.150179,0.0436999,0.990158
-4102.52,4.74603e-07,0.0212171,1,1,0,4105.51,3.42454,0.0748838,0.150179,0.0436999,0.990158
-4103.37,0.999424,0.00245268,8,255,0,4106.1,4.03353,0.0874633,0.124718,0.0326778,0.989582
-4103.02,0.977807,0.00453849,6,127,0,4105.8,4.02898,0.0675677,0.159093,0.0456904,0.98627
-4101.92,0.992895,0.0078391,6,63,0,4103.66,4.01029,0.0744229,0.134005,0.0347014,1.00012
-4102.63,0.1893,0.0139754,5,31,0,4105.22,4.28873,0.0835426,0.128065,0.0375712,1.00567
-4102.68,0.999723,0.00288318,7,127,0,4104.06,4.02534,0.0651189,0.141591,0.0368939,1.00599
-4101.38,0.998929,0.00522632,6,127,0,4103.7,4.63059,0.0670468,0.119806,0.0379012,0.988653
-4102.63,0.992805,0.0093635,4,31,0,4103.93,5.18101,0.0621129,0.121105,0.0342046,1.00077
-4102.63,0.000939485,0.0163564,3,12,1,4108.47,5.18101,0.0621129,0.121105,0.0342046,1.00077
-4103.59,0.993046,0.00217323,8,383,0,4105.42,3.54011,0.0895551,0.161056,0.0487993,1.00639
