# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model9_model
# start_datetime = 2023-11-09 00:36:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524113a2cad.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model9-202311090036-2-7c2185.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model9-profile-202311090036-2-24d491.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model9_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4860.47,1,0.015625,1,1,0,7031.17,1.9384,0.196231,1.9947,0.186586,1.14536
-4860.47,0,14.3855,0,1,1,4868.19,1.9384,0.196231,1.9947,0.186586,1.14536
-4860.47,0,2.43117,0,1,1,4860.81,1.9384,0.196231,1.9947,0.186586,1.14536
-4860.47,0,0.239791,0,1,1,4864.14,1.9384,0.196231,1.9947,0.186586,1.14536
-4860.47,8.58096e-58,0.0186273,1,3,1,4862.12,1.9384,0.196231,1.9947,0.186586,1.14536
-4767.99,1,0.00130482,3,7,0,4863.92,1.90844,0.194983,2.0069,0.185078,1.09061
-4693.75,0.997602,0.00189104,3,7,0,4774.12,1.89752,0.195393,1.98772,0.17931,1.03645
-4687.18,1,0.00303433,2,3,0,4695.61,1.89241,0.195871,1.9891,0.178699,1.02913
-4621.56,1,0.00526106,2,3,0,4691.93,1.82483,0.186182,1.9443,0.172858,0.99952
-4536.94,1,0.00953911,2,3,0,4622.23,1.71965,0.181918,1.81869,0.157185,0.968059
-4366.57,0.754781,0.0177823,2,3,0,4533.4,1.44361,0.16609,1.47926,0.12824,0.963255
-4313.85,0.957259,0.0155266,4,15,0,4363.93,1.37524,0.149619,1.38396,0.119155,0.988206
-4278.68,0.669011,0.0259782,2,3,0,4312.1,1.2677,0.145431,1.28936,0.111598,0.994481
-4271.45,1,0.017688,1,1,0,4278.55,1.24519,0.144633,1.26004,0.110622,0.989172
-4271.45,1.57548e-16,0.0341682,1,1,0,4273.09,1.24519,0.144633,1.26004,0.110622,0.989172
-4271.43,0.999051,0.0029695,4,15,0,4271.96,1.24753,0.144409,1.2607,0.110403,0.992397
-4216.27,0.967556,0.00579573,4,15,0,4277.9,1.19921,0.13769,1.03723,0.0803777,0.980123
-4170.53,0.977087,0.0102167,4,15,0,4219.24,1.27455,0.124544,0.596051,0.07665,0.982228
-4170.53,0.00217957,0.0184322,1,3,0,4175.83,1.27455,0.124544,0.596051,0.07665,0.982228
-4163.62,0.999023,0.00176169,6,63,0,4171.86,1.37702,0.125367,0.553195,0.0758332,0.982469
-4165.29,0.984998,0.00342365,6,63,0,4168.78,1.44264,0.118597,0.561709,0.079805,0.980983
-4157.31,1,0.00632405,5,31,0,4166.52,1.47338,0.112691,0.510499,0.0712849,0.99505
-4142.51,0.999946,0.0120966,4,15,0,4160.47,1.58068,0.129509,0.357125,0.0828684,0.990515
-4142.51,6.60225e-19,0.0229024,1,1,0,4146.03,1.58068,0.129509,0.357125,0.0828684,0.990515
-4113.02,0.994733,0.00240544,7,127,0,4145.03,2.85152,0.0936058,0.182349,0.0461727,0.998513
-4111.47,0.993565,0.00450538,5,39,0,4113.64,3.10367,0.0901306,0.177846,0.047164,0.994214
-4106.64,0.985463,0.00832514,6,63,0,4113.83,4.66948,0.0774376,0.112027,0.0323207,0.990561
-4107.67,0.201778,0.0148859,5,31,0,4110.94,4.40279,0.0522002,0.142141,0.0359807,0.986251
-4106.45,0.999062,0.00297239,7,191,0,4110.13,5.13292,0.05072,0.120161,0.0330689,0.985544
-4106.11,0.978568,0.0055139,6,63,0,4107.28,4.56723,0.0565533,0.115681,0.0324419,0.983903
-4108,0.682607,0.00957176,4,19,0,4109.01,5.24483,0.0572747,0.10577,0.0333681,0.975927
-4105.81,0.994636,0.00737005,6,95,0,4111.27,4.33888,0.0582054,0.124382,0.0378342,0.98744
-4105.53,0.999097,0.0132076,4,15,0,4105.82,4.30921,0.0573291,0.122914,0.0367393,0.993058
-4105.53,1.04045e-07,0.0237251,1,3,1,4107.53,4.30921,0.0573291,0.122914,0.0367393,0.993058
-4107.14,0.99102,0.00298836,7,127,0,4109.27,4.35507,0.055217,0.10452,0.0448697,0.996382
-4107.45,0.97319,0.00526712,5,31,0,4107.83,4.43153,0.0557752,0.103833,0.0448746,0.986276
-4106.77,0.987427,0.00878138,6,63,0,4110.76,5.702,0.0521763,0.0972725,0.0251204,0.995961
-4106.1,0.972902,0.0150669,5,63,0,4108.9,4.22837,0.0700197,0.106206,0.0347209,0.997548
-4106.1,4.63948e-05,0.0246941,1,3,0,4110.03,4.22837,0.0700197,0.106206,0.0347209,0.997548
-4106.79,0.951172,0.00336404,7,191,0,4110.45,4.78028,0.0601795,0.0963823,0.0304022,1.00606
-4108.3,0.99873,0.00523666,6,95,0,4110.84,5.20454,0.0494012,0.114654,0.0407404,1.0015
-4108.49,0.988003,0.0091232,5,31,0,4110.03,4.76577,0.0426254,0.101925,0.036147,0.997298
-4109.2,0.648947,0.0153456,5,63,0,4111.88,6.03799,0.0588568,0.0922635,0.0324633,0.984469
-4107.95,0.55474,0.0110681,5,47,0,4114,3.77028,0.0664445,0.112521,0.0402679,1.00214
-4106.07,0.999932,0.00636194,4,31,0,4108.4,4.23979,0.0710536,0.117274,0.0407981,0.992246
-4108.16,0.478792,0.0109157,5,51,0,4115.33,5.28528,0.0558403,0.0925181,0.0320703,0.975497
